Review,Lecturer,Training_program,Facility,Others
"chất lượng môn học khá tốt , giảng viên truyền đạt cho sinh viên nhiều kỹ năng có ích , phòng máy đảm bảo về số lượng máy cho sinh viên .",0,0,0,3
cần được rút kinh nghiệm .,0,0,0,1
em không có ý kiến gì cả .,0,0,0,2
máy chiếu thường có vấn đề ở phòng wzjwz145 .,0,0,0,3
em rất cảm ơn cô ạ !,0,0,0,3
phương pháp dạy học .,0,0,0,1
hợp tác .,0,0,0,2
em thấy học vậy cũng được rồi .,0,0,0,2
hoàn hảo !,0,0,0,3
rất thú vị .,0,0,0,3
biết về các công cụ quản lý cấu hình và quản lý dự án theo agile .,0,0,0,2
đó là giáo trình và tài liệu .,0,0,0,2
em cám ơn !,0,0,0,2
còn một điều nữa .,0,0,0,2
"thực sự thì giảng viên này không dạy lớp em , nên những đánh giá em chọn mặc định mức độ 3 .",0,0,0,2
hy vọng học kỳ sau có thể học với cô .,0,0,0,3
tất cả điều hài lòng .,0,0,0,3
"chú tâm , hướng dẫn cho từng học sinh , tương đối dễ hiểu .",0,0,0,3
"nên đưa môn học này vào đầu lộ trình học , ở năm nhất .",0,0,0,3
giảng viên rất nhiệt tình và vui vẻ .,0,0,0,1
hiện giờ em chưa có cách học đúng đắng .,0,0,0,1
hơi khó tiếp thu .,0,0,0,1
phòng lab trang bị máy cấu hình không đủ để chạy máy ảo .,0,0,0,2
lòng nhiệt tình .,0,0,0,3
"em thấy nó thật sự rất tốt , giải quyết sinh viên với những vấn đề trên .",0,0,0,3
không có gì đặc biệt .,0,0,0,2
"vui vẻ , thân thiện , nhiệt tình .",0,0,0,3
hy vọng nhà trường xem xét .,0,0,0,2
nên học sinh rất khó tiếp thu .,0,0,0,1
thân ái !,0,0,0,2
giáo viên không lên lớp .,0,0,0,2
tên thầy dài quá nhưng em nhớ nó như một món quà dành cho thầy .,0,0,0,2
"còn nhiều thứ còn khó hiểu , khó tiếp cận .",0,0,0,1
"nên giảng dạy nhiều hơn , thầy viết bảng nhiều gây sự nhàm chán cho sinh viên , vì thiếu tương tác giữa giảng viên và sinh viên !",0,0,0,2
like .,0,0,0,3
khá khó hiểu .,0,0,0,1
không gặp mặt .,0,0,0,1
em không có ý kiến gì thêm .,0,0,0,2
cần trao đổi nhiều hơn với sinh viên qua các kênh của trường như web môn học chẳng hạn .,0,0,0,1
"phòng lab thực hành đã quá cũ nát , nên cải tiến và xây dựng hệ thống phòng lab để sinh viên có thể thực hành các kỹ năng của môn học này .",0,0,0,1
rất cần cho việc phát triển sau này .,0,0,0,3
"cuối kỳ , không cần ôn tập vẫn có thể nhớ rất nhiều kiến thức .",0,0,0,3
đề thi cuối kỳ quá khó và cấu trúc đề quá kỳ lạ .,0,0,0,1
không dám ý kiến .,0,0,0,2
hay gõ micro vào bảng hoặc bàn .,0,0,0,2
"tháng học 4 ngày , nghỉ 3 ngày , bù thì trùng lịch 1 lúc 3 môn bắt buộc nghỉ rớt môn .",0,0,0,1
thỉnh thoảng đi hơi trễ .,0,0,0,1
chất lượng không tốt .,0,0,0,3
có 3 vấn đề tôi không hài lòng và rất là bức xúc về giảng viên .,0,0,0,3
dễ học dễ hiểu .,0,0,0,3
dễ nắm bắt kiến thức để đi thi .,0,0,0,3
em nhìn nó giống như ma trận chữ hơn .,0,0,0,2
rõ ràng .,0,0,0,3
dạy rất hài lòng .,0,0,0,3
kết quả môn thực hành thì rất tốt nhưng ở môn lý thuyết thì ngược lại .,0,0,0,1
slide bài giảng chưa được đưa lên .,0,0,0,1
em xin cám ơn .,0,0,0,2
giúp em hiểu ra được nhiều cái hay .,0,0,0,3
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",0,0,0,1
chưa thấy được sự cần thiết thực sự của môn học đối với ngành nghề cũng như cuộc sống sau này .,0,0,0,1
chưa có .,0,0,0,2
ảnh hướng tới kết quả chung của em .,0,0,0,1
mong nhà trường sẽ khắc phục sớm .,0,0,0,1
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,0,0,1
sẽ tạo được nhiều hứng thú hơn trong giờ học đòi hỏi nhiều kiến thức chuyên sâu này !,0,0,0,1
thật đáng buồn !,0,0,0,1
có thông báo về lịch thi nói trên web môn học .,0,0,0,3
"đi thực tập , đến công ty kaydotvn để làm việc và học .",0,0,0,2
chưa nhận được gì từ môn học này .,0,0,0,1
có nắm được lý thuyết của môn học .,0,0,0,2
có nhiều thầy cô đến lớp không đúng giờ .,0,0,0,1
"nếu thầy đã không đảm bảo giờ lên lớp , thì khi ra bài thi và đề cương ôn tập nên chú ý đến việc rõ ràng , hướng dẫn rõ sinh viên biết mình phải học gì .",0,0,0,1
do dạy khác chuẩn coloncontemn .,0,0,0,2
chưa bao giờ học không biết .,0,0,0,1
"cô dễ thương , giảng dễ hiểu và tận tình .",0,0,0,3
"thầy dạy có tâm , sau mỗi nhóm thuyết trình thầy sẽ nói lại đề tài mà nhóm thuyết trình là gì ?",0,0,0,2
chưa gặp lần nào .,0,0,0,2
sinh viên có thể hiểu bài và áp dụng vào bài tập .,0,0,0,3
"sự tận tâm , kiên nhẫn giảng và giải thích để sinh viên nắm được bài .",0,0,0,1
không lan man .,0,0,0,3
"em sắp xếp hết lịch đâu vào đấy mà thầy cứ đổi giờ , đổi tiếc thì khó cho em quá .",0,0,0,2
cơ mà em học môn này em hiểu colonlove .,0,0,0,3
đến lớp hơi muộn do giao thông .,0,0,0,1
"môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại , em không biết em không đi học nên chắc chắn em rớt .",0,0,0,1
"cô nhiệt tình , dạy hay , nhiều bài tập .",0,0,0,3
em thấy vậy được rồi .,0,0,0,3
không ý kiến thêm .,0,0,0,2
không có colonsmile .,0,0,0,2
điểm .,0,0,0,2
nhiều bạn vào được anh văn 1 và lên được anh văn 2 cho dù không biết gì về môn anh văn .,0,0,0,1
điện thoại không liên lạc được .,0,0,0,1
hết !,0,0,0,2
em cảm ơn ?,0,0,0,2
cần tạo kênh liên lạc giữa sinh viên và giảng viên để sinh viên có thể nhận được thông báo từ giảng viên .,0,0,0,1
đầy đủ chi tiết .,0,0,0,3
"nếu như một người không xem bài "" kỹ "" trước ở nhà .",0,0,0,2
đừng dư quá nhiều .,0,0,0,1
"phòng học cần mát mẻ và ít bụi hơn , các bộ mạch , bộ kit thí nghiệm trong phòng lab khoa wzjwz38 cần được bảo trì , sửa chữa thường xuyên , hầu như là không còn cái nào đảm bao chất lượng cả , có cái thì hỏng một ít có cái thì hỏng hết để đấy .",0,0,0,3
nắm được các kiến thức quan trọng .,0,0,0,3
"sản phẩm mình làm ra , đem người khác báo cáo thì không được hợp lý .",0,0,0,1
"đến cuối kỳ thì thật sự kiến thức để bọn em đi thi chỉ bằng 1 fraction 10 kiến thức thầy dạy , thậm chí là ít hơn cũng có thể .",0,0,0,1
không có gì để nói .,0,0,0,2
hầu như không có vấn đề gì không hài lòng .,0,0,0,2
sau khi học xong 2 môn học wzjwz168 và wzjwz87 lớp do thầy wzjwz88 làm giảng viên lý thuyết và thầy wzjwz89 làm giảng viên em thấy một điều thế này .,0,0,0,2
không có điểm nào không hài lòng .,0,0,0,2
khó nghe .,0,0,0,1
"giảng rất nhiệt tình và vui tính , thân thiện với sinh viên .",0,0,0,3
hy vọng trường xem xét ý kiến này của em !,0,0,0,1
nếu kết thúc thực hành sớm .,0,0,0,2
chưa có điểm thi giữa kỳ .,0,0,0,1
giúp cho sinh viên trao dồi thêm rất nhiều kỹ năng đặc biệt là kỹ năng làm việc nhóm .,0,0,0,3
"trang bị máy tốt hơn , máy chạy chậm ảnh hưởng việc học .",0,0,0,3
tập patin rất dễ .,0,0,0,3
giáo viên chỉ dẫn rất nhiệt tình .,0,0,0,1
em không ý kiến .,0,0,0,2
cô đến lớp đúng giờ và dạy dễ hiểu .,0,0,0,3
thực tế với hiện trạng .,0,0,0,2
hoàn toàn không có ý kiến .,0,0,0,2
cho em xin ít con chip nfc .,0,0,0,2
bình thường với giảng viên .,0,0,0,2
hầu như bữa nào cũng over time .,0,0,0,1
"mỗi một vấn đề đều phải dừng lại hỏi xem còn sinh viên nào có cách khác không , hay đơn giản là cách hiểu khác trên cùng một vấn đề .",0,0,0,2
kể chuyện hay .,0,0,0,3
mọi thứ .,0,0,0,2
"khó hiểu , khó vận dụng .",0,0,0,1
có tính thực tiễn .,0,0,0,3
"cô tận tâm , nhiệt tình .",0,0,0,3
kiến thức ngữ pháp và viết đạt .,0,0,0,3
béo quá không tốt cho sức khỏe .,0,0,0,1
"thực hành là hình thức giúp sinh viên học tập chủ yếu , cần có sự hướng dẫn cụ thể cho sinh viên .",0,0,0,3
dẫn chứng thực tế .,0,0,0,3
"thầy vui tính , dạy kỹ bài .",0,0,0,1
không có ý kiến thêm .,0,0,0,2
đề thi môn dài sinh viên làm không đủ thời gian .,0,0,0,1
nên tổ chức thêm những buổi hội thảo liên quan đến nội dung môn học .,0,0,0,1
tôi rất thích .,0,0,0,3
ngắn gọn .,0,0,0,3
"hiểu biết rõ hơn về các ngành học trong trường , được gặp những giáo viên hướng dẫn giỏi từ các khoa khác nhau .",0,0,0,3
cô giáo rất nhiệt tình !,0,0,0,1
cần nhiều tài liệu về môn học này .,0,0,0,1
"hơn nữa , buổi thứ 2 nếu các nhóm làm chung buổi 1 nghỉ dẫn tới tình trạng không có người hợp tác .",0,0,0,1
"quản lý như vậy dẫn đến tình trạng "" cha chung không ai khóc "" .",0,0,0,1
té patin cũng đau .,0,0,0,1
lớp học hơi buồn chán .,0,0,0,1
hài lòng hoàn toàn .,0,0,0,3
nếu không thì coi như lớp đi toi .,0,0,0,1
"riêng em , là một sinh viên kỹ thuật máy tính , em thấy môn này là cần thiết đối với em , tuy nhiên chưa thực sự là một môn học em cần phải đi sâu tìm hiểu , mong thầy về sau có thể hạ mức yêu cầu đầu ra với các bạn khoa khác ít liên quan tới môn học .",0,0,0,1
nghỉ dạy rồi còn ý kiến gì nữa hả .,0,0,0,1
tâm lý học sinh !,0,0,0,3
cảm giác như là cấp 2 học nhạc và vẽ vậy .,0,0,0,1
"cô rất vui tính , giảng bài tận tình .",0,0,0,3
trình bày slide bài giảng rõ ràng hơn .,0,0,0,1
môn này là môn em đi học nhiều nhất .,0,0,0,3
đánh giá cao colonsmile .,0,0,0,3
em ít khi lên lớp .,0,0,0,2
cần có nhiều trò chơi vận động hấp dẫn .,0,0,0,1
em không có gì không hài lòng .,0,0,0,2
biết thêm nhiều thông tin bổ ích .,0,0,0,3
không có ý kiến !,0,0,0,2
bình thường với giáo viên .,0,0,0,2
đôi từ tiếng anh em chưa hiểu .,0,0,0,1
làm một sinh viên như em không thể đủ nhận thức .,0,0,0,1
cách giảng của cô rất hay .,0,0,0,1
style chất ( y ) .,0,0,0,3
"cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy cô này tham gia hay hướng dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz43 thôi .",0,0,0,1
số lượng sinh viên trên một lớp cần ít hơn .,0,0,0,1
english is good .,0,0,0,3
làm khó sinh viên .,0,0,0,1
"vì đôi khi một đề lâp trình nào đó có thể người này đã làm qua rồi , người khác thì chưa hề đọc qua kiến thức ấy trong khi thời gian làm bài chỉ có 60 phút .",0,0,0,1
tương tác với sinh viên .,0,0,0,2
không có ý kiến gì ạ .,0,0,0,2
chúc cô thành công !,0,0,0,3
"mặc dù , có thể cái này sinh viên đang tự hiểu chỉ dùng cho các sắp xếp theo tính thự tự trong các hệ điều hành như về name , size .",0,0,0,2
thân !,0,0,0,2
vì theo em thầy mọi người đi học rất đầy đủ .,0,0,0,2
chưa thực sự tốt .,0,0,0,1
"hiện tại tốt , không cần điều chỉnh gì thêm .",0,0,0,3
điều này xảy ra ở mọi tiết học .,0,0,0,1
"theo em , giảng đường hơi nóng .",0,0,0,1
em không có ý kiến về mục này .,0,0,0,2
"không có , do em không có khả năng tiếp thu đối với môn này thôi .",0,0,0,2
"không biết ứng dụng , kể cả trên phương diện lý thuyết .",0,0,0,1
bảo học sinh không chịu học là không đúng .,0,0,0,1
đây liệu có phải là chuyên môn nghề nghiệp của ngành công nghệ thông tin chúng ta .,0,0,0,1
đã hoàn hảo .,0,0,0,3
được giảng viên hướng dẫn cụ thể dễ hiểu .,0,0,0,3
do giảng viên giảng bằng tiếng anh nên với một số bạn không học tốt anh văn như em thì để hiểu được bài giảng quả là một việc khó khăn .,0,0,0,2
rất hài lòng !,0,0,0,3
phương pháp dạy hợp lý và dễ hiểu .,0,0,0,1
"lý do điểm đánh giá thầy wzjwz31 không cao do thầy wzjwz31 không tham gia chính vào công tác giảng dạy môn học , thầy gần như chỉ có mặt ở lớp như để có mặt .",0,0,0,1
em xin cảm ơn .,0,0,0,3
không .,0,0,0,2
cần hiểu rõ thêm cách kết nối prolog với c .,0,0,0,1
lớp ồn đến nỗi không muốn đi học .,0,0,0,1
"em rất hài lòng về phương pháp , cách giảng dạy cũng như cách thầy tiếp xúc với sinh viên .",0,0,0,1
"có nhiều hoạt động thiết thực , cách nói hấp dẫn .",0,0,0,2
lớp học trầm .,0,0,0,1
chưa rõ mục tiêu và các bước thực hiện bài tập truy vấn dbpedia và tạo ontology .,0,0,0,1
phục vụ ở mảng nào cho công việc sau này !,0,0,0,2
"tinh thần , kiến thức .",0,0,0,2
bài tập nhiều và khó .,0,0,0,3
cũng hài lòng .,0,0,0,2
"tận tâm , vui tính trong giờ giảng dạy giúp giải tỏa căng thẳng .",0,0,0,1
nên cho những đề tài đồ án hấp dẫn người làm hơn .,0,0,0,2
"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",0,0,0,3
"cô giảng lý thuyết hơn dài , bài tập áp dụng ít chỉ toàn những bài cơ bản , khó áp dụng những bài đó để giải những bài khác nâng cấp hơn .",0,0,0,3
dễ hiểu vui vẻ không khí lớp thoải mái .,0,0,0,3
cảm ơn thầy đã sửa lỗi khi cài vmware giúp em colonsmallsmile .,0,0,0,2
hài lòng về tất cả .,0,0,0,3
không nhàm chán .,0,0,0,3
thành vòng tuần hoàn đến khi thi .,0,0,0,2
không chỉ phần mềm .,0,0,0,1
chán lắm luôn .,0,0,0,1
"các tiết thực hạnh hay , thực tế , không khí vui vẻ .",0,0,0,3
giỏi .,0,0,0,3
mức độ quan tâm học sinh rất cao .,0,0,0,3
chép hơi nhiều .,0,0,0,1
hỏi cũng không nhận được câu trả lời chính xác để học .,0,0,0,1
lớp học quá đông nên rất nóng .,0,0,0,1
"thầy rất nhiệt tình trong quá trình giảng dạy , luôn giúp đỡ sinh viên trong lúc làm bài cũng như mắc lỗi .",0,0,0,2
giúp chúng em học tập tốt hơn .,0,0,0,3
hài lòng tất cả .,0,0,0,3
khó hiểu ạ .,0,0,0,1
"khó hiểu , không sinh động .",0,0,0,1
có sai nhận sai và sửa đổi khắc phục .,0,0,0,1
thì có thể lướt nhanh hơn vì phần này khá dễ .,0,0,0,1
kỹ năng đọc của em còn chưa thể hiện được .,0,0,0,1
hơi cứng nhắc trong vấn đề này .,0,0,0,1
áp dụng vào thực tế nhiều hơn .,0,0,0,1
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,0,0,1
"thầy giảng hay , hướng dẫn giải bài tập chuẩn , có chuyện vui nghe thú vị .",0,0,0,1
"rồi một nhóm thì phải chấm điểm báo cáo cuối kỳ cho 3 nhóm khác , làm phiếu chấm điểm , soạn câu hỏi mà có yêu cầu ra đáp án đồ án của nhóm code chưa tới đâu thì sao mà ngồi đọc source của nhóm khác để code tiếp cho họ .",0,0,0,1
vậy là được .,0,0,0,3
em cảm thấy khá bức xúc nhưng nếu truy ra lỗi của ai thì em tự nhận một phần về mình .,0,0,0,1
tất cả đều phải sử dụng trên phần mềm mô phỏng proteus .,0,0,0,1
em không có gì thắc mắc .,0,0,0,2
quá thoải mái cho sinh viên .,0,0,0,1
"bởi chúng em đang đi học , phải học của nhiều môn khác nhau .",0,0,0,2
hy vọng ý kiến của em được xem xét !,0,0,0,1
và quá gấp gáp .,0,0,0,1
"cô giáo rất nhiệt tình , tận tâm và dễ gần , tạo hứng thú trong học tập .",0,0,0,3
rất tốt .,0,0,0,3
kể chuyện .,0,0,0,2
nhưng mà nhìn dáng thầy đi em thấy thương thương thầy .,0,0,0,2
sinh viên quá đông gây nóng nực .,0,0,0,1
học theo đúng thời khóa biểu .,0,0,0,3
sinh viên chịu khó sẽ làm được bài .,0,0,0,3
đã rất tốt .,0,0,0,3
không sử dụng moodle để trao đổi với sinh viên mà chỉ trao đổi riêng với nhóm trưởng của các nhóm .,0,0,0,1
đến cuối kỳ sẽ đỡ bỡ ngỡ hơn .,0,0,0,2
không có ý kiến khác .,0,0,0,2
em học thầy được nửa kỳ trước thì tự cúp qua lớp cô wzjwz218 học .,0,0,0,2
dạy hơi chán .,0,0,0,2
tất cả đều hài lòng .,0,0,0,3
"cô rất tận tình , nghiêm khắc trong giờ học .",0,0,0,3
thảo mai .,0,0,0,3
chúng em không theo kịp !,0,0,0,1
tuyệt !,0,0,0,3
em xin lỗi nhưng đó là sự thật .,0,0,0,1
rất hài lòng ạ .,0,0,0,3
chưa ổn .,0,0,0,1
đi sâu vào ứng dụng thực tế .,0,0,0,3
"rõ ràng , căn bản , thực tế .",0,0,0,3
cần cải thiện nhiều .,0,0,0,1
thầy dạy hơi khó hiểu đối với em .,0,0,0,1
em đã kết thúc một học kỳ ở đó !,0,0,0,2
cô dạy tốt .,0,0,0,2
"giảng viên năng nổ , nhiệt tình , vui tính .",0,0,0,3
giảng viên đến lớp sớm hơn .,0,0,0,3
"cô hỗ trợ tốt , nhiệt tình .",0,0,0,3
sinh viên trường wzjwz80 chúng ta hoàn toàn không được đánh giá cao so với sinh viên của wzjwz81 và wzjwz82 .,0,0,0,1
thoải mái .,0,0,0,3
biết làm bài tập của môn học nhưng không hiểu nó liên quan gì đến thực tế .,0,0,0,1
chúc thầy nhiều sức khỏe !,0,0,0,3
từ đó bọn em khó mà có được nhiều kiến thức về môn học này .,0,0,0,1
mấy cái khảo sát trước em tưởng một là tốt nhất nên đánh nhầm rồi ạ .,0,0,0,1
cô rất có tâm với công việc giảng viên của mình .,0,0,0,3
cần chia nhóm học tập .,0,0,0,1
"nói hơi nhanh , cho bài tập thêm hơi khó .",0,0,0,3
cảm giác của em là hơi chán .,0,0,0,1
sáng tạo .,0,0,0,3
"em nghĩ là "" dục tốc bất đạt "" .",0,0,0,1
hài hước .,0,0,0,3
"em ở nhà tự học , thi thực hành vừa rồi cũng được 10 điểm .",0,0,0,3
em xin chân thành cảm ơn !,0,0,0,2
