Review,Lecturer,Training_program,Facility,Others
"thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .nên cho sinh viên tham gia làm các đề tài thực tế , có sự hướng dẫn của giáo viên .môn này em học cải thiện nhưng mà nhà trường hủy môn em xong đăng tự ý đổi lớp lại , em không biết em không đi học nên chắc chắn em rớt .nên có nhiều thiết bị trực quan hơn .",3,1,1,1
"cô dạy hay nhưng hơi nhanh .thầy dạy dễ hiểu , liên hệ các kiến thức và giáo trình bằng tiếng anh bổ trợ bên ngoài .phòng máy giật và hay bị đứng mặc dù cấu hình cao .cô nhiệt tình , dạy hay , nhiều bài tập .",2,3,1,3
"slide khi khó hiểu vì vậy khi kết hợp slide và nghe cô giảng mới hiểu .học rất thoải mái và dễ tiếp thu , kết quả đạt được hẳn sẽ tốt hơn !nâng cấp cơ sở vật chất đặc biệt là loa , micro và mạng wifi .cũng bình thường .",3,1,1,2
"ngoài giờ học thầy còn nói thêm về nhiều điều rất hay !tài liệu nên được cập nhật .cô rất nhiệt tình , dễ thương , dạy dễ hiểu .phòng thực hành cần nâng cấp và bổ sung thêm thiết bị để mọi người đều có điều kiện thực hành thực tế nhiều hơn .",3,1,1,3
"lịch học thực hành trùng với lịch học lý thuyết .giảng viên vui vẻ , nhiệt tình , gần gũi với sinh viên .không hiểu gì khi ngồi nghe trong lớp .phòng học thực hành wzjwz18 không đảm bảo chất lượng cho việc học thực hành .",3,1,1,1
"thầy tận tâm nhiệt tình , giảng bài hay , dễ hiểu , quan tâm đến học sinh .không có gì ạ .cho thi giữa kỳ .cô dạy vui nhiệt tình .",3,2,1,2
"cách dạy của giáo viên rất tốt .lớp học vui , giảng viên giảng dạy sáng tạo , dễ hiểu .em không có ý kiến gì thêm .mong các môn học tới đề cương môn học và tài liệu tham khảo , cũng như sự tương tác với sinh viên của thầy sẽ được cải thiện nhiều hơn .",3,3,1,2
"giảng dạy ngắn gọn , súc tích , đánh vào phần trọng tâm .cần cho sinh viên làm hoạt động nhóm nhiều hơn và mở rộng nâng cao kiến thức cho sinh viên nhiều hơn nữa .hệ thống máy tính còn yếu kém .lý thuyết nên gắn liền với thực hành .",3,1,1,2
"tác phong và phương pháp giảng bài hiện đại , gần gũi , dễ tiếp thu .giảng viên nhiệt tình , cho bài tập đa dạng , và hướng dẫn nhiệt tình .điểm .cần wifi mạnh thêm cho dãy nhà cũ .",3,1,1,2
"nội dung kiểm tra cần bao phủ hết nội dung môn học .nhiệt tình , tốt bụng , vui tính , hòa nhã .bị chậm hoặc bị treo máy giữa chừng .em ở nhà tự học , thi thực hành vừa rồi cũng được 10 điểm .",3,1,1,3
"thầy giáo lên lớp đúng giờ .phòng thực hành còn thiếu máy cho một lớp sinh viên , chất lượng máy không đảm bảo , đôi khi không làm theo hướng dẫn được vì máy bị hỏng .ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .không đăng bài tập hằng tuần sớm để sinh viên có thời gian thực hiện .",3,1,1,2
"em rất đồng tình với cách thông tin đến sinh viên của thầy wzjwz134 , thầy thông tin cho sinh viên qua facebook giúp sinh viên nắm thông tin nhanh hơn qua trang courses hay daa .nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .slide môn học hoặc các tài liệu cần rõ ràng hơn nữa , nhiều phần rất khó hiểu nhưng lại rất ít kiến thức về nó , làm sinh viên không thể hiểu được bản chất của bài đó .phù hợp với thực tiễn .",3,1,1,3
thầy dạy nhàm chán buồn ngủ .không học được gì từ hình thức thực hành 2 này nên bỏ hình thức thực hành này .đề nghị lắp thêm quạt .tiếc là học kỳ 2 em không đăng ký được lớp lập trình hướng đối tượng của cô !,1,1,1,3
"vậy em mong nhà trường giải quyết giúp em , một là không để điểm tổng kết vào học kỳ này , hai là cố gắng sắp xếp giáo viên nào có khả năng đảm bảo giờ lên lớp giúp em .bài học chưa thực sự sinh động .không có gì làm em không hài lòng cả .thầy dạy nhiệt tình , dễ hiểu , vote cho thầy năm sao .",1,1,1,2
"nên có phần thực hành về tìm hiểu phần cứng , các bộ phận trong máy tính .giảng viên dạy nhiệt tình , đi đúng giờ , dạy dễ tiếp thu .em mong nhà trường có thể đổi phòng học cho lớp em ạ .nắm vững ngữ pháp và nâng cao được kỹ năng viết .",1,1,1,3
"không có điều không hài lòng .lớp học quá đông !cô vui tính , giảng dễ hiểu .thầy giảng bài hay !",2,1,1,1
"giảng viên giảng rất dễ hiểu , tận tình .cung cấp tài liệu cần thiết cho môn học nhiều hơn .nâng cấp máy tính , cho sinh viên thực hành bấm cáp nhiều hơn .hơi khô khan trong việc giảng dạy .",3,1,1,1
"thầy rất nhiệt tình và kiến thức rất phong phú , có hệ thống lại kiến thức mỗi buổi .phòng học cần lắp thêm quạt và màn che để theo dõi bài giảng của giáo viên tốt hơn .thời gian chưa đảm bảo .chỉ có vấn đề là em chưa cố gắng .",3,1,1,1
"nên bỏ thi code trên giấy .thầy không dạy em môn này .i love thầy !cần có tài liệu thực hành phù hợp , cập nhật với bài giảng của giảng viên .",2,1,1,3
"rất nhiệt tình coloncontemn .nắm bắt được những điều khái quát ban đầu về môn học của mình .có nhiều trang thiết bị giảng dạy hơn .vừa giúp cho bọn em nắm chắc kiến thức về môn học , vừa giúp bọn em tự tin hơn về kỹ năng cá nhân của mình .",3,3,1,3
"luôn quan tâm sinh viên .cách dạy của giáo viên hiệu quả .đôi chỗ vẫn khó hiểu .nhiệt tình , vui vẻ , thoải mái .",3,2,1,1
"giảng đường 2 và 3 học vào buổi chiều rất nóng bức .giọng nói hay .cho em xin ít con chip nfc .thầy cho các bài thực hành cần dàn trải đầy đủ nội dung học , đề thi thực hành dài .",3,3,1,2
"thầy hay cho deadline hằng tuần , đảm bảo kiến thức cho sinh viên .cần có những bài tập cụ thể cho từng tuần .nếu kết thúc thực hành sớm .cần cải tiến trang thiết thực hành .",3,1,1,2
"không ôn nhiều ngữ pháp .nội dung hứng thú hơn .môn mạng học ở phòng wzjwz24 , wifi ở phòng này khá yếu , xài rất chậm .chơi trò chơi .",1,1,1,2
"thầy giảng dạy dễ hiểu .slide bài giảng tốt , giảng viên giải đáp vấn đề tốt .không có ý kiến gì !nên ưu tiên về cơ sở vật chất cho chất lượng cao đúng như trường đã nói .",3,3,1,2
thầy cho nghỉ học thường xuyên .thái độ .môn học này giúp chúng em hiểu ra những vấn đề cơ bản .thầy nhiệt tình trả lời thắc mắc của sinh viên .,3,1,1,2
cô nói nhỏ và thường hay đứng trên bục rất khó để có thể hiểu .nhiều nhóm chưa chuẩn bị kỹ về vấn đề tìm hiểu .phương pháp dạy rất hay .tuyệt !,1,1,1,3
"giảng khó hiểu .thành vòng tuần hoàn đến khi thi .hỗ trợ thêm cơ sở vật chất , thiết bị thực tế .nên học thực hành thường xuyên hơn ( không học cách tuần ) .",1,3,1,2
"vài nội dung thầy giảng khó hiểu .giảng viên rất nhiệt tình và đúng giờ .cô nhiệt tình , hoà đồng với học sinh .phòng lab còn chưa đáp ứng tốt .",3,1,1,3
"thầy dạy rất nhiệt tình , hiệu quả .giúp chúng em học tập tốt hơn .nâng cao trang thiết bị phòng học doubledot máy chiếu , quạt .nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi .",3,1,1,3
cô dạy lý thuyết hơi nhanh .bỏ tổ chức thi lý thuyết cuối kỳ vì làm đồ án mất khá nhiều thời gian .đi học trễ .trang thiết bị cho thực hành tốt hơn .,1,1,1,1
"nhà trường nên cài bộ microsoft visual studio phiên bản mới hơn 2010 .nhiệt tình , cô dễ thương =) .theo em nên đưa phần kiến thức thực hành lên giảng dạy trong giờ lý thuyết .giúp cho sinh viên trao dồi thêm rất nhiều kỹ năng đặc biệt là kỹ năng làm việc nhóm .",3,1,1,3
"thời gian học quá trễ , sinh viên chất lượng cao không về được xe trường vốn là quyền lợi của sinh viên chất lượng cao , sinh viên không kịp thời gian đi học thêm sau thời gian học về đến trung tâm thành phố sau 7h .thầy nên hướng dẫn thực hành trong giờ học thực hành .có đầy đủ trang thiết bị .em thật sự không nắm được nội dung và yêu cầu của môn học .",1,1,3,1
"mong khi lên lớp thầy tập trung vào môn học hơn , không đưa ra những ví dụ lạc đề và những chuyện không liên quan trong giờ học .cho về sớm .hiện giờ em chưa có cách học đúng đắng .do cửa sổ không có rèm cửa nên khi học bằng máy chiếu thì không có hiệu quả cao , hơi mờ , sinh viên khó khăn trong việc nhìn .",1,1,1,1
"phòng máy xài chuột bi đã cũ , khó di chuyển , phần mềm lỗi thời .thầy giảng rất hay và dễ hiểu , phong cách dạy độc đáo .dạy tốt , nhiệt tình , truyền đạt tốt .sản phẩm mình làm ra , đem người khác báo cáo thì không được hợp lý .",3,3,1,1
thường xuyên bảo trì nâng cấp các chương trình máy tính .nhiệt tình và giúp sinh viên rèn luyện kỹ năng tốt .chú trọng vào việc giải bài tập hơn là củng cố phương pháp học tập của sinh viên .ngoài ra còn rất rất nhiều mặt tốt mà không thể kể hết .,3,1,1,3
"thầy dạy rất hay , hài hước trong công việc .bài thực hành khó và nhiều !chép bài nhiều quá , nhưng không sao .trang thiết bị còn hỏng hóc nhiều , thường xuyên trục trặc trong giờ học .",3,1,1,2
"cần cung cấp thêm nhiều tài liệu , cả tiếng việt lẫn tiếng anh .giảng viên cần đảm bảo giờ học trên lớp hiệu quả hơn .nâng cao chất lượng máy chiếu và quạt .cô dạy tốt .",1,1,1,2
chưa thể hiện được nhiều lợi ích của môn học .giọng của thầy không được hay lắm .đừng dư quá nhiều .phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,2,1,1,1
"nhà trường biết đấy , khi mình học mà không biết mình học gì , khi mình làm mà không biết mình làm gì thì cũng giống như người mù đi giữa bóng đêm vậy .em có ý kiến là hãy thi môn này trên máy tính với phần mềm vẽ chúng .nâng cấp hệ thống mạng và máy tính .em xin hết ạ !",2,1,1,2
"thầy nên cung cấp đầy đủ slide để sinh viên có thể học tập dễ dàng hơn .thông báo những buổi seminar và báo cáo phải chính xác để dễ dàng cho cả sinh viên lẫn giáo viên .em sắp xếp hết lịch đâu vào đấy mà thầy cứ đổi giờ , đổi tiếc thì khó cho em quá .thiết bị giảng dạy chưa tốt lắm .",1,1,1,2
"thưa , tài liệu mà thầy cung cấp thực sự nhiều hơn cả giáo viên chịu trách nhiệm lý thuyết của môn .thiết bị và dụng cụ thí nghiệm tại phòng lab còn nhiều hạn chê , hư hỏng nhiều , không đáp ứng được nội dung thực hành .em nghĩ nội dung thực hành nên gần với đồ án hơn .kiến thức hơi nhiều .",3,1,1,3
dạy rất hay và chi tiết .một số bài giảng dễ buồn ngủ .hài lòng tất cả .cần chú trọng hơn vấn đề học thực hành phòng máy không đáp ứng yêu cầu doubledot không có trình biên dịch giáo viên thực hành không sử dụng hiệu quả giờ thực hành .,3,1,1,3
vui vẻ hòa đồng nhiệt tình chỉ bao nhiêu đối với một giáo viên là đủ .thời khóa biểu cách nộp bài vào những tuần nghỉ ôn thi giữa kỳ không hợp lý .chúng em không theo kịp !lắp thêm rèm của để máy chiếu được hiệu quả hơn .,3,1,1,1
"trẻ trung , năng động .không nên đề hình thức thực hành là số 2 gây nhàm chán cho sinh viên sau những ngày học lý thuyết thì sinh viên nên được thực hành trên phòng lab dưới sự hướng dẫn của giảng viên .đề thi cuối kỳ quá khó và cấu trúc đề quá kỳ lạ .phòng thực hành cơ bản của trường còn quá kém , vậy tăng học phí đầu năm để làm gì .",3,1,1,1
"giảng viên ra đồ án cho sinh viên về làm để mở rộng kiến thức .không nên bắt sinh viên phải lên ngồi đủ 80% giờ học trở lên vì có những đề tài sinh viên đã nắm được cách làm , lên ngồi điểm danh mất thời gian vô ích .chưa bao giờ học không biết .cơ sở vật chất của trường nên được đầu tư làm mới và hiện đại hơn .",3,1,1,1
"phương pháp giảng dạy tiên tiến , giờ học vui .tận tâm , sẵn lòng giúp đỡ sinh viên giải đáp thắc mắc .phòng lab nên được cải thiện .em không có ý kiến gì cả .",3,1,1,2
"hy vọng học kỳ sau có thể học với cô .thầy tận tình , nhiệt huyết .thầy có khả năng truyền đạt tốt , vui tính .em rất thích cách lấy ví dụ và mở rộng bài giảng của thầy .",3,1,1,3
"thầy rất nhiệt tình , giảng dễ hiểu .học thấy rất phí thời gian , kiến thức thu được chẳng bao nhiêu .khá giống lúc học phổ thông .trang thiết bị nên tốt hơn .",3,2,1,1
"có thể phần thực hành sinh viên sẽ có hai sự lựa chọn doubledot tự xây dựng một chương trình phân loại văn bản , như vậy chương trình sẽ có thể không xử lý được những đoạn văn bản phức tạp hoặc lớn thế nên cách chấm điểm sẽ có phần nương tay đối với phần áp dụng này .hệ thống slide bài giảng chi tiết , rõ ràng .phòng học thực hành quá bé , bụi và bẩn , hệ thống máy tính không sử dụng được .chúng em là sinh viên năm nhất , và chúng em vẫn chưa đủ khả năng để làm ra những sản phẩm của riêng mình , chúng em học "" giới thiệu ngành "" vì mục đích định hướng , chúng em tìm hiểu về hệ thống nhúng vì mục đích xem mình có nên theo ngành đó hay không , và chúng em nói theo cách mình hiểu và tiếp cận được từ các nguồn thông tin .",3,1,1,2
"dù cô rất nhiệt tình , muốn truyền đạt nhiều hơn nữa cho sinh viên nhưng cô nên phân bố thời gian dạy hợp lý hơn và giảng những điều quan trọng , còn những điều bên lề để bổ sung kiến thức cho sinh viên thì cô nên để thời gian còn nhiều thì mới nói thêm , không nên lặp đi lặp lại quá nhiều một câu nói , gây tốn thời gian colonsmile .cô giáo rất nhiệt tình !đôi khi bị lố giờ giảng .nhưng chất lượng cơ sở vật chất nhất là bàn ghế bên dãy nhà wzjwz15 , có một số phòng bụi nhiều , bàn ghế dơ nhưng không được lau dọn .",1,1,1,1
"giảng viên không tổng kết , bổ sung lại kiến thức sau mỗi buổi tự thuyết trình của sinh viên , nhiều chỗ còn khó hiểu và kiến thức chưa sâu .về các ví dụ .phòng lab còn chạy visual studio 2008 , không biết viết code kiểu gì lên đó nữa , đây cũng là cái ảnh hưởng tới kết quả thi thực hành của nhiều sinh viên quen sử dụng với chuẩn visual studio 2015 .không lan man .",1,2,1,3
chỉ bảo tận tình .không cần phải đi học thực hành trên phòng máy nhiều .môn này là môn em đi học nhiều nhất .khoảng 1 tiếng từ khi giảng viên cho phép kết nối thì sinh viên mới vào mạng được .,3,1,1,3
"đôi từ tiếng anh em chưa hiểu .giảng viên quan tâm trực tiếp đến sinh viên .môn học cung cấp nhiều kiến thức cần thiết , đặc biệt là cô dạy rất tận tâm và hướng đến sinh viên .máy chiếu phòng wzjwz11 chất lượng quá kém .",3,3,1,1
"giảng viên giảng dạy hay nói lan man , không đúng trọng tâm môn học .phần khảo sát doubledot các câu hỏi khảo sát quá dài dòng , nhiều câu lập đi lập lại sinh viên chán nản tích tràn lan đánh giá không đúng kết quả khảo sát không được chính xác .nên đưa môn học này vào đầu lộ trình học , ở năm nhất .cô giáo nhiệt tình khi giảng bài cho sinh viên .",1,1,1,3
cần cho ví dụ nhiều hơn .thầy ít giảng chủ yếu là cho chép vào vở .cô rất có tâm với công việc giảng viên của mình .phần thực hành môn này còn thiếu các thiết bị thực tế .,1,1,1,3
"giảng viên cần bồi bổ thêm sức khỏe colonsmile .được học thầy là một niềm vinh hạnh .deadline cho rất ngắn , học buổi chiều và deadline vào lúc 23h59 cùng ngày .sử dụng hiệu quả ứng dụng công nghệ thông tin trong giảng dạy .",3,1,1,1
"không thấy giảng viên dạy thực hành buổi nào , lên lớp 2 tiết tâm sự với sinh viên .ngoài ra cô nên đưa ra các chủ đề cụ thể về đồ án và chỉ rõ điểm gì làm cho đồ án này phải sử dụng cơ sở tri thức mà không sử dụng hệ cơ sở dữ liệu quan hệ thông thường .điều chỉnh máy lạnh phù hợp với thời tiết .em cảm thấy khá bức xúc nhưng nếu truy ra lỗi của ai thì em tự nhận một phần về mình .",1,1,1,1
"thiết nghĩ đây là môn phân tích , thiết kế thuật toán , các bài toán ngoài thực tế không dễ dàng như vậy và quy hoạch động là một kỹ thuật có thể xử lý được một số bài kiểu này .giọng cô dễ nghe , giảng bài dễ hiểu .phòng thực hành quá xuống cấp .vì đôi khi một đề lâp trình nào đó có thể người này đã làm qua rồi , người khác thì chưa hề đọc qua kiến thức ấy trong khi thời gian làm bài chỉ có 60 phút .",3,1,1,1
"thưa , thầy luôn đặt nền tảng kỹ và cho chúng em tìm tòi học hỏi nâng cao .cô tận tâm , có theo dõi sức học tập của từng bạn .kiểm tra thì cực kỳ vô lý , phải làm những bài viết loàng ngoằng chẳng khác gì học sinh cấp 3 .lắp quạt phù hợp vì phòng có 2 dãy quạt 2 bên nhưng ngồi ở dãy giữa vẫn nóng , cần có màn che cửa sổ và có ổ cắm điện .",3,1,1,1
"truyền đạt chưa mạch lạc , rõ ràng , đôi khi còn nhầm lẫn .thứ nhất , môn mạch số quá "" hiếm "" tài liệu tham khảo ngay cả khi em tìm từ các nguồn trên internet , slide bài giảng thầy đưa ra không thể nào đáp ứng được khả năng tự nghiên cứu , tự học để rồi ứng dụng làm các bài tập mà thầy cho cuối cùng là làm các bài kiểm tra đánh giá .cần phải nâng cấp , cài đặt mới các phần mềm phù hợp hơn ví dụ doubledot máy ảo ubuntu .em thấy ổn ạ .",1,1,1,2
"bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .cô dễ thương , nhí nhảnh , truyền đạt dễ hiểu thấu hiểu tâm lý sinh viên colonsmile .cần tăng thêm số lượng thiết bị thực hành .không có gì cả ạ .",3,1,1,2
"dạy muôn từ 15 - 20 phút so với giờ quy định dù lên lớp đúng giờ khiến cho việc sắp xếp những công việc sau giờ học của sinh viên gặp khó khăn .đối với người lần đầu tìm hiểu directx với những yêu cầu đặt ra là rất khó .thật sự bọn em cũng cạn lời , đành ngậm ngùi mò lên mạng tra search các kiểu hơn một tiếng đồng hồ mới làm được một câu .giọng đọc tương đối giống bản ngữ và phát âm tiếng anh khá chuẩn .",1,1,3,1
"thầy dạy vui , thực tế .bài giảng thú vị .không hướng dẫn cụ thể bài tập và cách giải .dễ nắm bắt kiến thức để đi thi .",3,3,1,3
"em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .em cám ơn .giảng viên nhiệt tình , tận tâm , hòa đồng , giảng hay và hấp dẫn .phòng thiếu quạt .",3,1,1,2
"thầy trung thực thẳng thắng , ngay thẳng .nên cập nhât giáo trình , tài liêu vì tài liệu từ 10 năm trước , rất cũ so với hiện nay .khó nghe .phòng wzjwz55 thiết bị thường bị trục trặc .",3,1,1,1
"giảng viên giảng ít , phần lớn tự sinh viên tìm hiêu trên mạng .còn một điều nữa .cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch , router , hub , bridge , trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn , vdotv .nhiều vấn đề nói chưa rõ .",1,1,1,2
"thầy giảng rất tận tình .không nên thêm bảng băm vào môn này .cô dễ thương , giảng dễ hiểu và tận tình .em chỉ có ý kiến là các trang thiết bị trong các phòng học anh văn như vậy là chưa đảm bảo .",3,1,1,3
"nhiệt tình , tận tâm .cần cho thêm giáo trình .hay rất chu đáo .bài tập nhiều .",3,1,1,3
"để tiện cho sinh viên xếp lịch .giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .phòng máy cần nâng cấp .nếu cảm thấy muốn học em sẽ tự lên lớp .",3,2,1,2
giáo viên cần thông báo cụ thể các chương thi học kỳ một cách cụ thể hơn giúp cho sinh viên nắm được thông tin chích xác khi ôn tập tránh tình trạng chỉ tập trung vào các chương trọng yếu mà không học các chương còn lại .nội dung môn học quá nặng và nhiều thứ không cần thiết với ngành nghề của sinh viên .máy ở phòng thực hành quá tệ .không biết .,3,1,1,2
đề nghị nâng cấp phòng lab khoa mạng .sử dụng hiệu quả giờ học .hạn chế cho ra ví dụ kiểu như 12 rồi cho bài tập kiểu như 245 .chán lắm luôn .,3,1,1,1
học nhiều buổi thực hành hơn .máy tính cập nhật nhanh hơn .cảm thấy cô rất nhiệt tình làm việc theo nhóm hiệu quả .tôi không có ý kiến .,1,1,1,2
"thầy vui tính , tận tâm !thời gian môn học nên kéo dài hơn .đối với em , em đã thấy hợp lý .môn học được xếp vào phòng có máy chiếu bị hỏng phòng wzjwz66 , mong trường nhanh chóng giải quyết !",3,1,1,3
"giảng dạy tốt , nhiệt huyết với sinh viên .thực hành với lý thuyết có vẻ không có liên quan với nhau .phòng lab khoa wzjwz143 quá nóng .yêu cầu sinh viên tự học , tự chuẩn bị .",3,1,1,1
"thái độ đối với sinh viên không tốt , dẫn đến việc cảm thấy không thoải mái khi học .giảng viên nhiệt tính tâm huyết .nên đổi phòng học sang phòng chất lượng cao .cũng ổn .",1,1,1,2
"có thêm các mô hình thực tế cho sinh viên .thầy dạy tận tâm hết mình .thực tế với hiện trạng .phòng máy wzjwz26 khá tốt , đáp ứng nhu cầu của sinh viên , mong rằng các phòng máy khác cũng có được trang bị như vậy .",3,1,3,2
"giảng viên tận tâm .em rất thích , em là một đứa không thích học môn xã hội nhưng học cô em rất thích nghe giảng .môn học không bổ trợ cho sinh viên khả năng làm việc sau này .đồng thời thiết bị ở phòng thực hành hay hỏng hóc , gây gián đoạn và ảnh hưởng tới kết quả và thời gian làm thực hành .",3,1,1,3
"em nhìn nó giống như ma trận chữ hơn .thầy tiết lộ đệ thi để sinh viên chuẩn bị trước .cần tăng chú ý về kỹ năng cần thiết trong toeic như nghe , đọc .sáng 7h15 - 7h20 các cô lao công mới quét lớp , sàn nhà , mà cứ quét là hắt thẳng kể cả mặt sinh viên đang đi ở hành lang các nhà như không có ai , rất khó chịu cho các bạn sinh viên , nói ra với các cô sợ các cô buồn rồi hôm sau hắt mạnh tay hơn .",1,1,1,2
"thầy giảng bài kỹ , dễ hiểu !thời gian học thoải mái .có sai nhận sai và sửa đổi khắc phục .các phòng lab cần có wifi đủ mạnh để phục vụ tốt cho quá trình thực hành .",3,3,1,1
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .giảng nhiều phần nâng cao làm sinh viên bối rối .em tiến bộ rất nhanh .mong nhà trường nâng cấp các phòng thực hành và các thiết bị trong phòng học .",1,1,1,3
"rất vui và nhiệt tình .cần thêm bài tập và rèn luyện kỹ năng giao tiếp .tăng cường thêm thiết bị để môn học được hiệu quả .riêng em , là một sinh viên kỹ thuật máy tính , em thấy môn này là cần thiết đối với em , tuy nhiên chưa thực sự là một môn học em cần phải đi sâu tìm hiểu , mong thầy về sau có thể hạ mức yêu cầu đầu ra với các bạn khoa khác ít liên quan tới môn học .",3,1,1,1
đủ những gì cần học không dài dòng .dụng cụ học tập đầy đủ .thầy khó quá .anh văn .,1,3,3,2
"thầy giảng dạy tận tình !phòng thực hành nên bố trí hợp lý , đủ máy móc thực hành .thông báo học thực hành quá đột ngột , hôm nay thông báo mai học , sinh viên cũng có những công việc riêng chứ .rất nản .",3,1,1,1
"nên tăng tiết thực hành .cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi của sinh viên đặt ra .em đã kết thúc một học kỳ ở đó !nên đầu tư nhiều hơn vào trang thiết bị .",3,1,1,2
"các buổi ngoại khóa nên được mở .đặc thù môn học là phải ghi phấn , nên tiết bài tập tuyệt đối không nên sử dụng máy chiếu để giảng !cơ mà em học môn này em hiểu colonlove .nhiệt tình trong giảng dạy , vui vẻ , hòa đồng .",1,1,3,3
